subject_id,example_id,start_ms,phoneme,total_duration_s,mean_rms,f0_mean_voiced_hz,voiced_ratio,voicing_decision,total_sound_frames,unvoiced_frames_count,full_filename
2,3,3,ざ,0.257,0.04335412755608559,128.33326334199253,1.0,Voiced,13,0,S02_003_03_ざ.wav
2,3,6,ざ,0.257,0.04235190525650978,123.59139250307999,1.0,Voiced,11,0,S02_003_06_ざ.wav
2,3,16,ざ,0.257,0.03544630855321884,0.0,0.0,Unvoiced,13,13,S02_003_16_ざ.wav
2,5,14,ざ,0.294,0.026255568489432335,105.14229061285,0.8333333333333334,Voiced,12,2,S02_005_14_ざ.wav
2,7,4,ざ,0.28,0.05361185595393181,129.83999506435129,1.0,Voiced,14,0,S02_007_04_ざ.wav
2,7,20,ざ,0.281,0.03833741694688797,117.51123969298638,0.7857142857142857,Voiced,14,3,S02_007_20_ざ.wav
2,8,19,ざ,0.345,0.028932195156812668,0.0,0.0,Unvoiced,10,10,S02_008_19_ざ.wav
2,9,13,ざ,0.289,0.04523357003927231,111.36795387426287,1.0,Voiced,9,0,S02_009_13_ざ.wav
2,10,18,ざ,0.262,0.05630095675587654,123.33921320144958,1.0,Voiced,13,0,S02_010_18_ざ.wav
3,1,1,ざ,0.26,0.04724837839603424,110.68003389127573,0.9411764705882353,Voiced,17,1,S03_001_01_ざ.wav
3,1,17,ざ,0.31099773242630385,0.050375767052173615,136.94736308064964,0.6875,Voiced,16,5,S03_001_17_ざ.wav
3,2,11,ざ,0.31700680272108844,0.05959367752075195,123.947791521238,0.6842105263157895,Voiced,19,6,S03_002_11_ざ.wav
3,2,13,ざ,0.3180045351473923,0.06540922820568085,124.02936709768923,0.7692307692307693,Voiced,26,6,S03_002_13_ざ.wav
3,2,18,ざ,0.31700680272108844,0.05020970478653908,117.59104705411355,0.9642857142857143,Voiced,28,1,S03_002_18_ざ.wav
3,3,3,ざ,0.32900226757369616,0.013210400938987732,65.40639132514966,0.1,Unvoiced,10,9,S03_003_03_ざ.wav
3,3,6,ざ,0.32900226757369616,0.012797764502465725,0.0,0.0,Unvoiced,4,4,S03_003_06_ざ.wav
3,3,16,ざ,0.32900226757369616,0.0424041785299778,122.49583721735021,1.0,Voiced,29,0,S03_003_16_ざ.wav
3,5,14,ざ,0.27600907029478455,0.04081146419048309,99.36929501286717,0.9333333333333333,Voiced,15,1,S03_005_14_ざ.wav
3,7,4,ざ,0.28399092970521544,0.07449730485677719,124.2998546658015,0.9166666666666666,Voiced,24,2,S03_007_04_ざ.wav
3,7,20,ざ,0.28399092970521544,0.0411037914454937,108.31141926744074,0.9523809523809523,Voiced,21,1,S03_007_20_ざ.wav
3,8,19,ざ,0.32700680272108845,0.03825345262885094,125.27303579726295,0.5,Voiced,16,8,S03_008_19_ざ.wav
3,9,13,ざ,0.3580045351473923,0.03838328272104263,115.83937778956489,0.45161290322580644,Unvoiced,31,17,S03_009_13_ざ.wav
